epoch,train_loss,val_loss
1,0.51423995,0.50088653
2,0.47702553,0.46990788
3,0.36371741,0.41772275
4,0.28979765,0.39243993
5,0.26323089,0.37805734
6,0.25160285,0.36384694
7,0.24476481,0.29563633
8,0.24068783,0.24906300
9,0.23804164,0.24144697
10,0.23554647,0.23892695
11,0.23380031,0.24342839
12,0.23338636,0.16757852
13,0.23226599,0.20732522
14,0.23120422,0.20645534
15,0.23070040,0.17923264
16,0.22993593,0.18397847
17,0.22818289,0.17221338
18,0.22715852,0.22890608
19,0.22362710,0.18802143
20,0.22204266,0.17187314
21,0.22143421,0.15036949
22,0.22100580,0.16383275
23,0.21961325,0.16102253
24,0.22027446,0.17246454
25,0.21866043,0.18179596
26,0.21942185,0.14620068
27,0.21944082,0.15533231
28,0.21935133,0.17324351
29,0.21990184,0.16581063
30,0.21929415,0.14901603
31,0.21913171,0.15698007
32,0.21785741,0.17430924
33,0.21672692,0.16400762
34,0.21530039,0.18535590
35,0.21597709,0.14981852
36,0.21475740,0.15596860
37,0.21515017,0.21001549
38,0.21509963,0.17486568
39,0.21413539,0.14251552
40,0.21470809,0.15649767
41,0.21271444,0.14646859
42,0.21291198,0.15134683
43,0.21289150,0.16683927
44,0.21465188,0.15696214
45,0.21412257,0.14693980
46,0.21322310,0.16105440
47,0.21171915,0.15042039
48,0.21075352,0.15127603
49,0.21096340,0.17095645
50,0.21155670,0.15774101
51,0.21126077,0.15482352
52,0.21171647,0.14502117
53,0.21192836,0.14414594
54,0.21167155,0.15347831
